Address,Quantity,Percentage
0x9c28a83197293926550b651ef36acbb8c4d631d7,365.4302235,0.00%
0x8acb5631c285aac0d01ed945fadc2ff6c79f7670,359,0.00%
0x70721d6762c11bb8d72432676d00893b3d3a793f,356.45,0.00%
0x1f13ed86471d6e0674429ded661ae2dc997ce818,337.4122,0.00%
0xccb45aa41ae274c132cce30ff24975674e010e04,316.5564985,0.00%
0xf438285fe76390c55502a2da4440e1d3746f5813,313.0054726,0.00%
0x6422f1537d1fa76cd0a5ade9c7264df99fcd0fcb,310,0.00%
0x55e7a5faca420320015139f0638b8d1c2cbb758d,299.5,0.00%
0xf553bb8b052283ee2092c694016d77013fbf7e4d,286.3033125,0.00%
0x9fb08cb35e541d75b59a4c8c7ab3d8c495d61cfb,268.2532115,0.00%
0x4742dcc8486286b934a693c6eba873a35bbea692,266.5,0.00%
0x9d32927fd0296a10e957c86e3c97dc1fa0ced0ad,258.7,0.00%
0x036d874aac5f0c73a08319f51902875000951584,250,0.00%
0x639431a52a5df86a4b8a150b70dc79d08cedcfc8,250,0.00%
0x471d37b9f50e3ae1e36eb3c0bf64812036892f95,224,0.00%
0xe3596e762d2c7c039895ec4105992aeb4e286c0c,220.0518939,0.00%
0x32d4fbde6469a78f585bcf493231fa0e0aed9885,207.2,0.00%
0xfb909fc195fbb7c1e70eaee99628fc0e3418d2d7,200,0.00%
0x6614ecf1136b18920fe9f9c4fba58562f73e409b,200,0.00%
0x3fb0bb022096049fadf74dcd1752b1311b8fc573,199.5,0.00%
0x92ae1ce8d97e5b698808ce07cd822c6d5ea023b0,150,0.00%
0xa883069f35306c01693c08d1a024057d7e06840e,140,0.00%
0xa9948f95cdd04040c4c1385186875746222bd724,136.2251669,0.00%
0x1ee861e36eb7b6042e3c86c744d55a054d8259e0,132.8333333,0.00%
0x1608fc5622162cfe80589ff4b54430a43b60d604,116.26,0.00%
0x73de0ec292283c5e010aea74f3c2f01fa4f7d6a7,108,0.00%
0xb59976f7dbab10e5ab07517fca3eb5af06165eda,102.0974,0.00%
0x4ea245e57fa5b090bf86a89086502ca8bcaec300,100,0.00%
