Address,Quantity,Percentage
0x4b36f4a426ef51ae194d0c253f6e1f6abb46d843,35640,0.00%
0x8c55fe22db58ed3fd4bd620eac8f0be799821233,35637,0.00%
0x9d6585c275c7a10e4e20289f04078fe3e249606a,34650,0.00%
0x037ee95896de421056099aabe5cae32a1b537dd6,33660,0.00%
0xe50e3cf0904e71cbbc61b9d5531c63ba6006d7ab,33660,0.00%
0xcefc52073d98c549cfb708b0cb431fc1325d7bf4,32487,0.00%
0x7feca054dd5ad8dd02eab9bdf393e9dcc581ec0b,31672.08,0.00%
0xa4b1172a92f22704df07afac75b1c56da3a7c273,30000,0.00%
0x84445ac19c82d786e3f2fbebb2ce700fa03460b1,30000,0.00%
0xf378c2dec91b287c066abf41342df7f9d9e50697,30000,0.00%
0x08996b5263810ed7e013839ea013f63cd604738e,30000,0.00%
0x8ecf51d4cc6691b7d6b08e25f631455b722e6c8b,30000,0.00%
0xda53285e55304dfe9f9c3921d2048b249afd25f3,30000,0.00%
0x16586c5dd1a9df350e06165dcddccde7aac025e5,30000,0.00%
0xf61eee142fe4bc66957f23bf024454a9f1e54351,30000,0.00%
0x8a75ad62eaaba9cb256aaaaa3cc8625aa18520ec,30000,0.00%
0x5beec257ed4b5886342d1fe9368c9a76774e10d3,30000,0.00%
0x5a88e9c0ac2b13d9918ab052206418cdf0dcaf5f,29700,0.00%
0x64c23e4505a12ad603307a78cc2b8c8663d600a0,28500,0.00%
0x177ded801bbbeaec49b1b97e17959d2650d36bf5,28006,0.00%
0x40e6fc0216f5e1d8e299ae85e59edc069ef51bf4,27000,0.00%
0x8b185a06e09f8a9c0c52a7979e6c7525f0b57d1f,25000,0.00%
0xf057ba2addbef23046278e3773683430f77be7f1,25000,0.00%
0xea1fbd4d10a0dacfd88c5b4c58fab8933e6b2bf7,24750,0.00%
0xe4c72301f6da979ed102123c0827cbf769e8cf57,24750,0.00%
0x2725df44273005782c7538c9bf3447504ee12069,24750,0.00%
