Rank,Address,Quantity,Percentage
147,0xbd7d6353b65acbcc8f4c12110dea7b6caacb1026,370022.5056,0.04%
148,0x8dbcb15c0baf08d0856105a372f1ae5ec4e28eb1,367281.8739,0.04%
149,0xc145ea02c5fd577786dc50523b00309c92ca87e2,366329.8991,0.04%
150,0xde5d21c6e029a7f738d3a908b953dc176da80b1f,366322.1059,0.04%
151,0x29c1d1a3b170ea2a1fc072e62db988c0dda7567b,361553.1944,0.04%
152,0x7295e87b964246050b58a4fcaa060d2e088e673c,355181.0223,0.04%
153,0x2474df399c1670223325cd07d64341e940416cf3,352800,0.04%
154,0x1fadf35b65578dead8ac649763889e8558bc90e7,350060.3446,0.04%
155,0x2b3d788c65c8d67391647e89788729b3559d8a70,346190.4046,0.03%
156,0xbb59437a4b01cbcd4854db366ec17f132a23782a,340252.4042,0.03%
157,0x1541caef7783890fc2c852d2d2079e43977dae84,340138.5406,0.03%
158,0xf3a179c63ce8b9517a1823748e6cc167c0766d88,339746.6641,0.03%
159,0x2f59d6895ccc253465ad2437b8f48f39ca3d8c05,339096.4773,0.03%
160,0x60118c35b3f62a2388d6a0302a73e22a59089abf,325600,0.03%
161,0xfbebd89aa186ccf6494cb9cb85161e656c34f8b2,322134.2219,0.03%
162,0x95063c7eb95962c2ff6042866c4f3f9aa6698950,321983.4912,0.03%
163,0x072f82aeebc7126a74ed29ca5ab62ab6a4d5aa29,316232.9803,0.03%
164,0x56552ec65da794bb44bcc9d76f39531172767d06,315008.9619,0.03%
165,0x639d9ba0f11ff73a25c0a26849d4d5a7175169b6,310152.9269,0.03%
166,0x6623336cd74d132c6cd3b0fa6801d764e8336f3a,306414.6091,0.03%
167,0x953acf503952df47b39deff04c03c8aad839ccf8,304769.6533,0.03%
168,0x88ee8303aa04b89c0329cb461473f3ddeaeecef8,303950.3905,0.03%
169,0xfd4eca7cb2bbcf0e7020a0d2bbe7ede6209048c6,303378.6916,0.03%
170,0xc5b12cd19365d08982721b32e116bd26d8ef574d,302859.4268,0.03%
171,0x89749d327d2f09ba9388377304c881e7adf9d105,301517.0243,0.03%
172,0x06c68d04aaaf5da137d4a3be785d388bab9f5c23,300914.7315,0.03%
173,0x93c0ac42914299ae99da98baa3759f72bf81b886,300000.5763,0.03%
174,0x04b2986ceb58f87ae37267d36d666a1fc4894900,300000.4159,0.03%
175,0x00c1f40dcb4a03f8b0231d44f61958b2ab471e14,300000.0002,0.03%
176,0x82991295d3042d184f314797763612390d983571,299999.5,0.03%
177,0xbf61a993e390f3509dd0db2a1fe8a014d51172b0,292165.1936,0.03%
178,0x1a291c689bb80429800c4750b3606467b12fa6a1,290856.6933,0.03%
179,0x57d35aa5127cf562fe1d59bc35c45c9290381e6f,287306.8394,0.03%
180,0x70dd77fc5a8d743eb55ee27c72e167ce1f17d409,271390.5149,0.03%
181,0xbacb11a697ace99377640da3ffa1fe8bdad801e0,269999.8515,0.03%
182,0x4023700b1e90a22e5fa3d0634bdad658a823fed3,269476.6124,0.03%
183,0xb039df879f41487396c6ef973272ed4db4c88c90,261379.3479,0.03%
184,0x670dc2f07c481051424d9a64af4ec2a1d08f16ef,260191.94,0.03%
185,0xd5d20a55b0eacfbb61d8a5dcff6151bb7a4abc44,255731.9084,0.03%
186,0x8353058800ec7f94632ad993afcb68bcdc217078,252218.2008,0.03%
187,0xb7280e4d42121d3662101a745c37ae1d1120be16,251808.7587,0.03%
188,0xeac048dc2fcc4482fd37271a3c84b8a94b869da9,250011.337,0.03%
189,0xb62d8eec62046f6e44e2e5b064439107bab19ea0,250000,0.03%
190,0x9cf837cbdf088c6fb2e0ffd8cc2571eab9710c95,250000,0.03%
191,0x7a39e7fa4305edcd359476c323332f2d78f113a0,250000,0.03%
192,0xadbaf27592eabe78da85c042f8461f22c0aad0d1,243286.8984,0.02%
193,0x733bf163956dbc5082b6d9f5e62a5c6884b2a2d5,242971.8753,0.02%
194,0xd94c9ff168dc6aebf9b6cc86deff54f3fb0afc33,241678.8507,0.02%
195,0x7d33712b2b4bd696307871f1d8b96eac061f9090,239255.3486,0.02%
196,0xe85c549f69281c634d48a2188950c0421cb394aa,238303.8473,0.02%
197,0xac5fe58011cd4063f73b31e9a4e1b3441a5ad9c1,237905.4358,0.02%
198,0x4e279732f1104af0e7c9b225b649d3d0cb172562,237773.3174,0.02%
199,0xf3af18f3ab746e85f908447fb41f12a2a5c14280,237630.5226,0.02%
200,0x5abef7fc05bce3248a032c4e0d27be3bd4c35936,237064.5055,0.02%
201,0xa5a99a77ee92ee0d76a15f70e730159e8f55922c,234532.2361,0.02%
202,0x09ca058a575e7adaa1300a261f33b101ca73a915,233726.5,0.02%
203,0xa96eeb82e8318c167fc02afd78b8ead18bc435a5,233715.25,0.02%
204,0xf6ae888a62166b763fae9d83e5661de8da2ff8ef,231377.3788,0.02%
205,0xf897fa67b991feba59db045d22adda3cb7e5805b,229938.5628,0.02%
206,0x739f84fc91e18d0954f8516afc444518ba104d26,229533.4371,0.02%
207,0x7ba73868535dc4a1c91d21d5726c88fc6b441354,228916.8599,0.02%
208,0x2dd4e089712b4dba1fbc33bee8233ec001e3fe15,227798.6878,0.02%
209,0x102c840daae5748c98e2b8403b6fbf30f900175f,225591.8883,0.02%
210,0x62990829b976e3db86efd4011eaba73ab1c41625,225196.244,0.02%
211,0x7fa6edd2ef2cb798ce8c6f5bd6d8371e02e30138,225003.8588,0.02%
212,0x0427bdc1b22e6628ae16bef17d7652556344fc69,222321.1093,0.02%
213,0x00f7415588ce0b0fd5fd27c926a52c6f656adaca,221154.1175,0.02%
214,0xf4fb240aee709ecbe591e2dcaf184ee002065fab,220682.994,0.02%
215,0xfc15151e6bf16aa2c3e309487d7eb2d514cfed70,219428.3289,0.02%
216,0xc3f554d81a70697431e6078ab697468cb857b8bf,218188.4013,0.02%
217,0x720081be885c6c0de4d1c7f8ed0e3b284010e20b,218093.6243,0.02%
218,0x6968ced42dd9a5e4c5143ade19a6d076857c288e,216733.323,0.02%
219,0x8082c3acddf41eed23c021eb9faecca75d4ca009,216291.8665,0.02%
220,0x727f46cde2b6c848363dcea5fec99b0acf284c06,216062.8556,0.02%
221,0x5641519cc28def80d631baa28b949f17a6a22ad1,215928.8735,0.02%
222,0x68a54e5d0ef549e809eaf794886b936f30a07155,215744.0473,0.02%
223,0x0665385cbc1e394a83887c5bf3d3d6d617a1f98c,215537.3443,0.02%
224,0x720ad3d92f43de39a1c081e5f9fb9301ca73b63d,215392.2431,0.02%
225,0x382bce007c2f816830851781c7c4432ae1d26bdc,213667.6417,0.02%
226,0x351fc4e8987a6170fb6baa38556822d79eb438e9,213442.86,0.02%
227,0x5617748abe470becb5ab62f85d33ce53ccbeae3c,212084.1735,0.02%
228,0x4589f92743872b2a0f4e0b16365f3e46842d351c,210000,0.02%
229,0x0df0c5aeba738518e91854631ea38db449e06b1c,209962.2193,0.02%
230,0xd2b684efade1e3d7029c4112c9eee05c2c38b0ab,208316.2537,0.02%
231,0x4879bc7f6026f8e58ead9dc9248a83c45bf7f4c3,204072.0189,0.02%
232,0xf545ca5bad7cedfb9613338340923681f6681dfb,203823.8933,0.02%
233,0x017f7277497237a09e03aeb4c1812e5685af09ef,203384.3147,0.02%
234,0xdabdf9708935d7b85c9b4af5aaf3ad859f0e19ca,203288.1235,0.02%
235,0x8565dc8867a4beeafd543fee39d65ddd40f18708,202497.1034,0.02%
236,0xaae0b9fe3ee916cea4feefea96141b68c2d62348,201358.9279,0.02%
237,0x2b177b2f0d748d8a2ca0f79f05ba29a8f84d3f0f,200021.6327,0.02%
238,0x82a99faea61c0b5a04f916f06617743c64452d34,200010,0.02%
239,0x134dfece9dcb6a4fcb92537c3b22124cd13f8e0a,200000.6778,0.02%
240,0xc453221d14b5c0a65b90e3c61d2b50a7f29331ef,200000.0859,0.02%
241,0xfa862d43446fea678b3c5757fc1ecc975f95a452,200000,0.02%
242,0xf46a35d45632ad6cae524ed2c412c8ccd556b958,198731.5615,0.02%
243,0xb06481dcb3e5d0261659acc689d8542483e24bba,197883,0.02%
244,0x5c968e714686d7fc43196624625a6ed21e1c0b31,197085,0.02%
245,0xc065cc8732b3193ded47642b750f6777c3c6a9da,196273.0757,0.02%
246,0xf6173d0d49d0ec565537ccd70f05e38450c35651,195413.4457,0.02%
247,0x448f48d9149c3eb7154019efefa6a7bf2bd58753,194736.0636,0.02%
248,0x27c37415f489c74a9509856d28f394ee53f78443,191784.1043,0.02%
249,0x228e158644a80a19b18b44005f4bbb11fca88ed7,190154.9771,0.02%
250,0x72ceab5c0e6ff56a07e75c02017990a8e206c83e,190000.9298,0.02%
251,0x7d439999e63b75618b9c6c69d6efed0c2bc295c8,189162.9123,0.02%
252,0x76f4676ff0da52756990c3cc0b7c46b814c25a52,187376.2238,0.02%
253,0x654b464b06c40c3eb6f2f8e3cf5d7ee4e0aa34bf,186429.6972,0.02%
254,0x8bb2c36eeca46cbc728508ba4785daa98ede9685,185871.9395,0.02%
