1,eosio.stake,770223740.7
2,bitfinexcw14,41765721.78
3,hezdeobug4ge,35277317.22
4,walletdunamu,24424079.63
5,vwgumvhjzkvn,21951909
6,hezdeobugage,20675046
7,winterishere,16065696
8,hezdeobuhege,13551738
9,giytemzyhege,6000000
10,ha2tmmjygige,5200098
11,ycheosforzb3,5000002
12,ycheosforzb4,4997002
13,hazdcojrgyge,3489699.9
14,eosio.unregd,3301220.364
15,krakenkraken,3083503.064
16,gateiowallet,2256750.994
17,gq4dinigenes,2243164.433
18,otcbtcdotcom,1170033.99
19,wangruixiwww,1154449
20,eosio.saving,1069515.812
21,bitfinexdep1,727622.9947
22,haztmmbsgyge,671250
23,eosio.ram,645052.8644
24,vgavtyivxkfj,519236
25,ycheosforzb1,502003
26,gy4tiobtgene,398903.0587
27,protokenbank,374875.7492
28,g4ytiobtgige,370181.7758
29,eidnc131zcxz,300000.5
30,gu4denrygyge,219426.3289
31,ge2tiobzhage,203287.7436
32,gu3dsnbvhage,190000.7298
33,giytoobtg4ge,186408.8109
34,gm3timruguge,154799.2754
35,gq4demjrhege,140153.7891
36,gu3dembzgqge,138668.821
37,gm2tmmjrgene,134534.8127
38,gi3dgnygenes,134322.2161
39,gmytknjqgene,132837.7656
40,otcbtcdotnet,121067.6309
41,ge3dgnzygmge,119999.7471
42,chainceoneos,118404.4678
43,gqytsmzzgege,114505.0222
44,gmzdemjxgyge,113791.06
45,g4ydinjwhage,109231.0522
46,g4ytsmzsgege,108830.5268
47,ha3donbuhage,104504.796
48,gqytiobtgage,103497.3943
49,gq2tanbwg4ge,103255.0356
50,gi3deobrhage,100009.9256
51,gm4tcoigenes,98536.9458
52,cesaraccount,92522.86
53,gy3domrwg4ge,92489.3262
54,g42dsnruhege,86120.0644
55,gu4tonzzgyge,85725.3772
56,ge2domzqgige,85623.047
57,g43dcmbygqge,85319.9001
58,geydsobsgage,84998.5176
59,gu4tomjrhage,82867.4368
60,ge3dcobygene,82865.7298
61,hezdenbyhege,79472.8044
62,ge2dimbqgige,78561.1117
63,gm3denbwguge,77000
64,ge4tknzqg4ge,75420.0298
65,gi2demjwgmge,75000
66,haztenzugqge,74019.2927
67,giztsobsg4ge,67487.4946
68,geytemjvgyge,65114.7654
69,gu3dknrrgege,63302.1069
70,g4ytmnzsgige,62588.6606
71,giztiobvgige,62475.2586
72,gyzdcnjsguge,60888.0985
73,gyztqmbwgene,60243.483
74,gezdonjthege,60008.4576
75,heytanbqgage,59429.99
76,gq2tkmbugqge,58960
77,gu2dkgenesis,57999.6989
78,gengyao12345,57125.3655
79,gu4dambygige,55695.704
80,geztoojrgage,54862.1403
81,g44dknjvgmge,54580.1595
82,ge4dsmzvguge,51431.6091
83,gm2dcobuhege,50035.6988
84,gezdqojwg4ge,49999.8779
85,gm2tcnbzgyge,49952.2161
86,gu2tiobqguge,49743.5553
87,gq2tsgenesis,49563.4299
88,gezdkmjzgene,49160.5728
89,gizdambrgene,45697.4595
90,gyzdomzsgige,43789.4177
91,giydomjqg4ge,43495.7797
92,guydcmjzgmge,41749.62
93,ge2dqojzgyge,41077.1179
94,gm4dmojugmge,40815.7476
95,he2dgnygenes,40692
96,ha3tknrtgene,40410.3648
97,bg5sbkbg5sbk,40110
98,gq3dimrug4ge,39999.6077
99,cryptolions2,39527.6055
100,ge4tqnbrgmge,36287.863
101,gy4dgnzsgene,35744.0701
102,geztmmzxgene,35618.5157
103,gyydmnrwgege,35005.1426
104,gm2dgnzrguge,34737.021
105,g44demzqgyge,34616.8166
106,ge2denzxgege,34467.2817
107,gyydcnjyg4ge,33462.9182
108,geyteojzgene,30860
109,g43tmnzzhege,30048.6106
110,g43dknrugene,30000
111,gi3damigenes,29999.9926
112,hezdcmjugage,29993.255
