Address,Quantity,Percentage
0xdc5e689689d6e9c36503f351cf437c773ce74227,50541347,0.01%
0x61e0f7a9cb8bf363e24ba72c1be0b9cae1f7d8c8,50406897,0.01%
0xf489216aa34cb236529f31195adfce9bbbab2226,50000013,0.01%
0x7cf89a148c4d0ee23cacac037e5eea2134eff981,50000000,0.01%
0x3aa52a11b2437f3a7ba9298853b19068e95e423f,49419788,0.00%
0x2b5634c42055806a59e9107ed44d43c426e58258,49192139,0.00%
0xc58bb74606b73c5043b75d7aa25ebe1d5d4e7c72,48262200,0.00%
0xbd370c6598b95113db0688b6652b66aa10793658,46601451,0.00%
0x7ad0fa0e2380a5e0208b25ac69216bd7ff206bf8,46487109,0.00%
0x2524031d6607fbf01e2f9aa160a6eeb308cff040,46440907,0.00%
0xb287a379e6caca6732e50b88d23c290aa990a892,46208785,0.00%
0x5c654e2328394c1751a6106af470be95cc98bccd,46156215,0.00%
0x917b6b81709437562e78c335f214da75b3032165,46072134,0.00%
0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,45920755,0.00%
0x8f54cfc87b74078d8da75634c0a45432d3c4482f,45000000,0.00%
0x6f4d027a2335866e4bf7979e7a3e5bf75495906e,44918323,0.00%
0xf395e8192c412ed49aa505d6047b02cf4b1dc076,44661333,0.00%
0x4e760efef7837d2cacef8b42be80afb8b7e03897,43794918,0.00%
0xab83d182f3485cf1d6ccdd34c7cfef95b4c08da4,43510965,0.00%
0x1fd8ddb1019473b46785ac5cde454a570143394c,43000000,0.00%
0xe0efde6450d0567cf3200ea15b5269ba46e0695a,42670000,0.00%
0xb0cf943cf94e7b6a2657d15af41c5e06c2bfea3d,42530218.99,0.00%
0x00c0f96bf688c1d997555da808215ca4a113a4df,42400058,0.00%
0x59b4d9ab3a17e789bcb0385c1abfd96b8c94477f,42004724,0.00%
0x4a42d87e186540055196c27a7327b5d1f763bfcf,41259915,0.00%
0x058e0a14eaa228604f44de2b4be71f5d36e4a926,41082526,0.00%
0x6614ecf1136b18920fe9f9c4fba58562f73e409b,41000000,0.00%
0x95a87108287cabe26ac4546c0a2f80967e7a29b6,40973947,0.00%
0x00034e1f41c988c1c66199e3b041c86828a77478,40707149,0.00%
0xd95342953c8a21e8b635eefac7819bea30f17047,40279646,0.00%
0x00a69343a48e1b3b0955bca93107ef2b0a75f516,40225224,0.00%
0x46686d4315b1ddec64cb2560d79eff8017433868,40000000,0.00%
0xb9760f9755bbe8310482c9efde8de5ecf6939ceb,39643007,0.00%
0x90e9ddd9d8d5ae4e3763d0cf856c97594dea7325,39328117,0.00%
0xf2EAb3A2034D3f6B63734D2E08262040E3fF7B48,39041356,0.00%
0xe43d3479c57e24744bd3f90504c79d4b62cb8333,38260966,0.00%
0x04869cf3df38f5c2890baf460784430031af696a,37954939,0.00%
0x9c36d1672913ff982f0ccd70e448f95d0ec7781f,37909478,0.00%
0x54011a0d6252f50790acaf4340d9e46737ca0ab9,37871741,0.00%
0x0bddc72e2018d929f1866e781af3693f021050fe,37803423,0.00%
0x27d49591431943a829ae497cbbb92c9e7db9d996,37708203,0.00%
0xebdbc7034b499298113449c127c2d796078e99b7,37411136,0.00%
0x8e8bc99b79488c276d6f3ca11901e9abd77efea4,36468673,0.00%
0x51b9053cb9feea7673009e319ea9a366983789d9,36000000,0.00%
0xf12f0658629b4227a59fe4d81938a506329f03bc,35533640,0.00%
0x9fa25be2a2f82430b86f3ec1e7bd3fb5557e1726,35107448,0.00%
0x3613ef1125a078ef96ffc898c4ec28d73c5b8c52,35090775,0.00%
0x93701f8559354d89bbe05529a2357c87e4a32c3a,34924991,0.00%
0xa89baedafc5a3d67a253c054b49bfe81df87c794,34695817,0.00%
0x80ca04a5636f4a96656e1150b43dcfaa5ce54b93,34591710,0.00%
0xdd55d4e5e69e33abc958d664805e3c125fa99934,34224240,0.00%
0x85e4fe33c590b8a5812fbf926a0f9fe64e6d8b35,33763695,0.00%
0x405de3659d6a2c5c2d690db80ec65ef3a7d67b9f,33500000,0.00%
0xc904f489f660cdab534b345de0548f90ee86bdbe,32997000,0.00%
0xca414fcfd0be083d987b3732289de97ac80ec848,32993589,0.00%
0xd897fe50cc3f57ddea02c8c21d5ff3eb03387310,32763704,0.00%
0xaeec6f5aca72f3a005af1b3420ab8c8c7009bac8,32733279,0.00%
0x707db60b19cfc5d525dd2359d6181248aa0a518d,32315048,0.00%
0xa8660c8ffd6d578f657b72c0c811284aef0b735e,32014364,0.00%
0x9366dccc032e0172731162a922ac7d8afdc1fe51,31961182,0.00%
0xda981ee66390c8df144e480ccb508fb92ec11631,31867676,0.00%
0x4d468cf47eb6df39618dc9450be4b56a70a520c1,31431429,0.00%
0x418f3a0a79579276d2a379e8ef1bc46279a868a4,31253819,0.00%
0xa97f1a05eb61c3eb2e6872b6ed8b3af3dff6f32c,30620000,0.00%
0xa607d1593a9ee7bad2377c12fc1f12650a1efd31,30487350,0.00%
0x30146933a3a0babc74ec0b3403bec69281ba5914,30256944,0.00%
0x4501205a75f3e6a99f1320b802fda91fb5499b11,30127237,0.00%
0xfbbb015f605ddb354e8552da6819540dd85ea436,30000000,0.00%
0x48faff292b1f99faf7922b6c57e2dc9e8c69b352,30000000,0.00%
0xde7d3af83132d19f4b3e4d5a8d539f45790ca044,29770759,0.00%
0xce3daebec9a5cb4904beb01c8998bbca6e96ed9f,29545913,0.00%
0xd9f0cfaf554cb17d4fef8fabe664d17df2cb7208,29485000,0.00%
0xc41723495460cc275032192a1ca33282fac1a0df,29100493,0.00%
